cod,cod_description,id_provincia,provincia_descripcion
1093,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1094,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1095,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1096,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1097,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1098,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1099,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1100,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1101,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1102,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1103,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1104,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1105,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1106,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1107,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1108,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1109,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1110,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1111,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1112,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1113,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1114,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1115,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1116,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1117,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1118,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1119,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1120,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1121,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1122,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1123,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1124,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1125,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1126,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1127,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1128,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1129,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1130,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1131,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1132,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1133,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1134,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1135,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1136,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1137,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1138,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1139,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1140,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1141,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1142,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1143,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1144,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1145,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1146,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1147,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1148,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1149,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1150,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1151,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1152,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1153,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1154,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1155,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
